Rank,Gender,Forename,Incidence,Frequency
1,M,Dragan,138799,1:51
2,M,Zoran,132845,1:54
3,F,Ljiljana,121464,1:59
4,F,Gordana,99927,1:72
5,M,Milan,87030,1:82
6,M,Goran,76772,1:93
7,M,Aleksandar,74708,1:96
8,F,Radmila,69448,1:103
9,F,Jelena,68694,1:104
10,F,Vesna,66799,1:107
11,F,Mirjana,63144,1:113
12,M,Slobodan,62374,1:115
13,F,Zorica,59211,1:121
14,F,Nada,59036,1:121
15,M,Petar,56034,1:128
16,F,Marija,54492,1:131
17,F,Vera,54445,1:131
18,F,Snežana,53644,1:133
19,M,Dušan,53368,1:134
20,M,Jovan,52878,1:135
21,M,Nikola,52332,1:137
22,F,Ljubica,51579,1:139
23,F,Dragica,50628,1:141
24,F,Biljana,50329,1:142
25,M,Tomislav,49466,1:144
26,M,Ivan,48355,1:148
27,M,Miodrag,47504,1:150
28,F,Milica,46830,1:153
29,F,Slavica,46391,1:154
30,M,Miroslav,44922,1:159
31,M,Predrag,44177,1:162
32,M,Nenad,43875,1:163
33,M,Ljubiša,43427,1:165
34,M,Vladimir,43017,1:166
35,F,Dragana,42323,1:169
36,M,Branislav,41546,1:172
37,F,Olga,40257,1:178
38,F,Ana,40176,1:178
39,M,Dejan,39621,1:180
40,M,Milorad,39600,1:180
41,M,Branko,39120,1:183
42,F,Svetlana,38096,1:188
43,M,Nebojša,35918,1:199
44,M,Saša,35877,1:199
45,F,Verica,35385,1:202
46,F,Jasmina,34337,1:208
47,F,Milena,34240,1:209
48,M,Radovan,31845,1:224
49,F,Ružica,31805,1:225
50,F,Ljubinka,31687,1:226
51,F,Olivera,31576,1:226
52,F,Branka,30722,1:233
53,M,Radomir,30435,1:235
54,M,Miloš,30105,1:237
55,F,Dušanka,28650,1:249
56,F,Danica,28401,1:252
57,F,Ivana,27763,1:257
58,M,Đorđe,27124,1:263
59,M,Dragoljub,26880,1:266
60,F,Slađana,25785,1:277
61,M,Ljubomir,25602,1:279
62,F,Nadežda,24756,1:289
63,F,Jovanka,24558,1:291
64,M,Dragoslav,24017,1:298
65,M,Božidar,23654,1:302
66,F,Aleksandra,23649,1:302
67,M,Dragiša,23608,1:303
68,F,Tatjana,23574,1:303
69,M,Rade,23435,1:305
